instance,maple result,maple time,maple-chrono result,maple-chrono time,maple-trail result,maple-trail time,maple-trail-append result,maple-trail-append time,maple-trail-2levels-ahead,maple-trail-2levels-ahead,par2,par-2 chrono,par-2 trail,par-2 append,par-2 1lvl,maple-chrono-dl result,maple-chrono-dl-time,
../SAT2019/sr2019/old/mrpp_6x6#12_24-sc2013.cnf,SAT,15.02,SAT,13.715,SAT,18.848,,,SAT,25.894,15.02,13.715,18.848,,25.894,SAT,9.787,9.787
../SAT2019/sr2019/old/20180326_095804936_p_cnf_320_1120-sc2018.cnf,SAT,837.71,SAT,971.58,-,5000.039,,,SAT,2206.45,837.71,971.58,10000,,2206.45,-,5000.009,10000
../SAT2018/final/Johnson/sted5_0x0-70.cnf,-,5000.006,-,5000.032,-,5000.013,,,-,5000.028,10000,10000,10000,,10000,-,5000.008,10000
../SAT2019/sr2019/old/hwb-n26-01-S1957858365.shuffled-as.sat03-1622-sc2002.cnf,UNSAT,381.503,UNSAT,393.626,UNSAT,255.04,,,UNSAT,418.885,381.503,393.626,255.04,,418.885,UNSAT,434.321,434.321
../SAT2019/sr2019/old/rubikcube701-sc2017.cnf,UNSAT,289.305,UNSAT,280.457,UNSAT,261.2,,,UNSAT,422.757,289.305,280.457,261.2,,422.757,UNSAT,482.066,482.066
../SAT2019/sr2019/old/slp-synthesis-aes-bottom18-sc2011.cnf,-,5000.037,-,5000.057,-,5000.028,,,-,5000.012,10000,10000,10000,,10000,-,5000.054,10000
../SAT2018/Heule/CNP-5-1000.cnf,SAT,216.423,SAT,593.853,SAT,1000.411,,,SAT,342.77,216.423,593.853,1000.411,,342.77,SAT,743.462,743.462
../SAT2018/Ehlers/ex067_10.cnf,SAT,425.535,SAT,497.566,SAT,544.371,,,SAT,1686.647,425.535,497.566,544.371,,1686.647,SAT,986.004,986.004
../SAT2018/Heusser/satcoin-genesis-SAT-32.cnf,SAT,17.06,SAT,2507.453,SAT,2525.013,,,SAT,19.944,17.06,2507.453,2525.013,,19.944,SAT,28.279,28.279
../SAT2018/Heule/CNP-5-1800.cnf,SAT,524.374,SAT,90.39,SAT,37.371,,,SAT,543.264,524.374,90.39,37.371,,543.264,SAT,423.833,423.833
../SAT2018/Jingchao/e_rphp056_05.cnf,-,5000.019,-,5000.168,-,5000.017,,,-,5000.027,10000,10000,10000,,10000,-,5000.032,10000
../SAT2018/final/Collatz/ax-d-4-7-5.cnf,-,5000.008,-,5000.028,-,5000.036,,,-,5000.011,10000,10000,10000,,10000,-,5000.013,10000
../SAT2019/sr2019/new/Biere/eqsparcl12bpwtrc12.cnf,-,5000.005,-,5000.004,-,5000.004,,,-,5000.01,10000,10000,10000,,10000,-,5000.017,10000
../SAT2019/sr2019/old/gus-md5-14-sc2009.cnf,-,5000.033,-,5000.036,-,5000.121,,,-,5000.012,10000,10000,10000,,10000,-,5000.041,10000
../SAT2018/Ehlers/ex015_14.cnf,-,5000.019,-,5000.016,-,5000.016,,,-,5000.024,10000,10000,10000,,10000,-,5000.07,10000
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m145ABCD_p.cnf,SAT,44.889,SAT,2152.458,SAT,4247.011,,,SAT,375.509,44.889,2152.458,4247.011,,375.509,SAT,1335.6,1335.6
../SAT2019/sr2019/old/partial-5-11-u-sc2007.cnf,-,5000.018,-,5000.02,-,5000.018,,,-,5000.016,10000,10000,10000,,10000,-,5000.04,10000
../SAT2018/Heusser/satcoin-genesis-SAT-512.cnf,SAT,2625.678,SAT,2799.714,SAT,2529.787,,,SAT,44.468,2625.678,2799.714,2529.787,,44.468,SAT,58.018,58.018
../SAT2018/Biere/sdiv40prop.cnf,-,5000.006,-,5001.285,-,5001.311,,,-,5000.097,10000,10000,10000,,10000,-,5000.091,10000
../SAT2019/sr2019/old/003-sc2013.cnf,-,5000.025,SAT,100.787,SAT,1442.831,,,-,5000.02,10000,100.787,1442.831,,10000,-,5000.02,10000
../SAT2018/final/Johnson/sted5_0x0-60.cnf,-,5000.008,-,5000.026,-,5000.056,,,-,5000.032,10000,10000,10000,,10000,-,5000.009,10000
../SAT2018/final/Zhou/si2-b06m-m1000-03.cnf,SAT,128.982,SAT,134.35,SAT,132.104,,,SAT,129.23,128.982,134.35,132.104,,129.23,SAT,129.499,129.499
../SAT2019/sr2019/old/x2_128.shuffled-as.sat03-1598-sc2002.cnf,-,5000.014,-,5000.008,-,5000.009,,,-,5000.014,10000,10000,10000,,10000,-,5000.011,10000
../SAT2018/final/CRIL/T87.2.0.cnf,UNSAT,485.965,UNSAT,426.868,UNSAT,421.89,,,UNSAT,635.779,485.965,426.868,421.89,,635.779,UNSAT,388.309,388.309
../SAT2018/Scheel/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf,SAT,1281.92,SAT,556.237,SAT,529.82,,,SAT,863.941,1281.92,556.237,529.82,,863.941,SAT,1267.25,1267.25
../SAT2019/sr2019/old/Nb7T44-sc2017.cnf,-,5000.03,-,5000.013,-,5000.018,,,-,5000.021,10000,10000,10000,,10000,-,5000.059,10000
../SAT2018/final/Collatz/mod8-abd-yad.rules.7-7.cnf,SAT,211.009,SAT,69.418,SAT,523.285,,,SAT,59.047,211.009,69.418,523.285,,59.047,SAT,108.535,108.535
../SAT2018/Heule/CNP-5-700.cnf,SAT,855.738,SAT,51.407,SAT,2017.558,,,SAT,324.235,855.738,51.407,2017.558,,324.235,SAT,88.958,88.958
../SAT2019/sr2019/old/EDP3-70000-sc2014.cnf,-,5000.076,-,5000.078,-,5000.08,,,-,5000.08,10000,10000,10000,,10000,-,5000.072,10000
../SAT2019/sr2019/old/Schur_161_5_d22-sc2016.cnf,-,5000.002,-,5000.006,-,5002.16,,,-,5000.045,10000,10000,10000,,10000,-,5000.113,10000
../SAT2018/Heusser/satcoin-genesis-SAT-1024.cnf,SAT,2541.647,SAT,2568.934,SAT,2568.939,,,SAT,65.817,2541.647,2568.934,2568.939,,65.817,SAT,73.368,73.368
../SAT2019/sr2019/new/Heule/MM-23-2-2-3-A.cnf,-,5000.029,-,5000.019,-,5000.03,,,-,5000.022,10000,10000,10000,,10000,-,5000.033,10000
../SAT2019/sr2019/new/Bebel/toughsat_28bits_0.cnf,-,5000.008,-,5000.149,SAT,1315.549,,,-,5000.013,10000,10000,1315.549,,10000,-,5000.017,10000
../SAT2018/Xiao/Nb37T6.cnf,UNSAT,688.513,UNSAT,837.613,UNSAT,744.229,,,UNSAT,1313.911,688.513,837.613,744.229,,1313.911,UNSAT,938.112,938.112
../SAT2019/sr2019/new/Zhou/knight_20.cnf,-,5000.039,-,5000.036,SAT,2419.314,,,SAT,2630.997,10000,10000,2419.314,,2630.997,SAT,2447.779,2447.779
../SAT2019/sr2019/new/Biere/eqbpdtlf14spdtlf14.cnf,-,5000.012,-,5000.011,-,5000.006,,,-,5000.009,10000,10000,10000,,10000,-,5000.049,10000
../SAT2019/sr2019/old/ezfact64_8.shuffled-as.sat03-1524-sc2002.cnf,SAT,196.251,SAT,569.92,SAT,233.415,,,SAT,200.04,196.251,569.92,233.415,,200.04,SAT,340.751,340.751
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m145ABCD.cnf,SAT,789.512,SAT,2467.72,SAT,524.677,,,SAT,203.35,789.512,2467.72,524.677,,203.35,SAT,993.766,993.766
../SAT2018/Ehlers/ex177_12.cnf,-,5000.077,-,5000.067,-,5000.117,,,-,5000.279,10000,10000,10000,,10000,-,5000.137,10000
../SAT2019/sr2019/new/Savicky/size_4_4_4_i4295_r8.cnf,UNSAT,136.417,UNSAT,155.252,UNSAT,163.535,,,UNSAT,188.217,136.417,155.252,163.535,,188.217,UNSAT,216.786,216.786
../SAT2018/Scheel/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf,SAT,1139.616,SAT,384.321,SAT,745.173,,,SAT,2796.279,1139.616,384.321,745.173,,2796.279,SAT,472.511,472.511
../SAT2019/sr2019/old/uniqinv47prop-sc2018.cnf,UNSAT,2826.345,UNSAT,2851.684,UNSAT,2806.423,,,UNSAT,241.881,2826.345,2851.684,2806.423,,241.881,UNSAT,250.919,250.919
../SAT2019/sr2019/new/vonHolten/b1904P1-8x8c6h7SAT.cnf,-,5000.007,-,5000.018,-,5000.01,,,-,5000.03,10000,10000,10000,,10000,SAT,3208.117,3208.117
../SAT2018/Heule/CNP-5-500.cnf,SAT,502.01,SAT,3761.539,-,5000.033,,,SAT,3213.751,502.01,3761.539,10000,,3213.751,-,5000.018,10000
../SAT2019/sr2019/new/Zaikin/ASG_72_keystream76_1.cnf,SAT,3795.059,SAT,3783.909,SAT,1985.43,,,SAT,1476.577,3795.059,3783.909,1985.43,,1476.577,SAT,2025.098,2025.098
../SAT2018/Mayer-Eichberger/9-4-10.cnf,-,5000.025,-,5000.019,-,5000.089,,,-,5000.018,10000,10000,10000,,10000,-,5000.214,10000
../SAT2019/sr2019/old/QG7a-gensys-icl001.sat05-3822.reshuffled-07-sc2007.cnf,UNSAT,90.469,UNSAT,110.864,UNSAT,87.981,,,UNSAT,119.883,90.469,110.864,87.981,,119.883,UNSAT,108.813,108.813
../SAT2019/sr2019/old/aes_32_3_keyfind_1-sc2011.cnf,-,5000.006,-,5000.006,SAT,588.236,,,SAT,1051.531,10000,10000,588.236,,1051.531,SAT,776.39,776.39
../SAT2018/Manthey/Problem14_label19_true-unreach-call.c.cnf,UNSAT,73.751,UNSAT,71.948,UNSAT,77.837,,,UNSAT,83.582,73.751,71.948,77.837,,83.582,UNSAT,70.227,70.227
../SAT2019/sr2019/new/Zaikin/Trivium_no_init_out350_known_last143_1_u.cnf,UNSAT,636.321,UNSAT,647.15,UNSAT,569.173,,,UNSAT,887.857,636.321,647.15,569.173,,887.857,UNSAT,781.336,781.336
../SAT2019/sr2019/old/ezfact64_6.shuffled-as.sat03-1522-sc2002.cnf,SAT,143.634,SAT,318.225,SAT,236.772,,,SAT,419.637,143.634,318.225,236.772,,419.637,SAT,339.395,339.395
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m75a.cnf,SAT,328.64,SAT,161.896,SAT,528.79,,,SAT,418.85,328.64,161.896,528.79,,418.85,SAT,575.435,575.435
../SAT2018/Chowdhury/gto_p50c314_1.cnf,-,5000.004,-,5000.012,-,5000.009,,,-,5000.006,10000,10000,10000,,10000,-,5000.011,10000
../SAT2018/final/Johnson/sted5_0x1e3-20.cnf,-,5000.013,-,5000.054,-,5000.115,,,-,5000.123,10000,10000,10000,,10000,-,5000.026,10000
../SAT2018/final/Soos/apn-sbox6-cut3-helpbox31.cnf,SAT,337.789,SAT,388.907,SAT,187.822,,,SAT,259.862,337.789,388.907,187.822,,259.862,SAT,1002.489,1002.489
../SAT2018/final/Zhou/bibd-8-70-35-4-15_glb.cnf,SAT,24.484,SAT,15.582,SAT,16.904,,,SAT,33.464,24.484,15.582,16.904,,33.464,SAT,26.389,26.389
../SAT2018/final/CRIL/T84.2.0.cnf,UNSAT,377.996,UNSAT,341.714,UNSAT,386.127,,,UNSAT,504.85,377.996,341.714,386.127,,504.85,UNSAT,317.058,317.058
../SAT2019/sr2019/new/Zhou/Mario-t-hard-2_c18.cnf,SAT,36.647,SAT,50.38,SAT,37.686,,,SAT,41.518,36.647,50.38,37.686,,41.518,SAT,35.855,35.855
../SAT2018/Chen/20180322_164226661_p_cnf_320_1120.cnf,SAT,33.751,SAT,34.353,-,5000.014,,,-,5000.008,33.751,34.353,10000,,10000,-,5000.044,10000
../SAT2019/sr2019/new/Biere/eqbparrc18spwtrc18.cnf,-,5000.005,-,5000.072,-,5000.027,,,-,5000.017,10000,10000,10000,,10000,-,5000.011,10000
../SAT2019/sr2019/old/atco_enc1_opt2_20_12-sc2014.cnf,UNSAT,1146.309,UNSAT,1095.664,UNSAT,1232.299,,,UNSAT,1599.14,1146.309,1095.664,1232.299,,1599.14,UNSAT,1620.829,1620.829
../SAT2019/sr2019/new/Heule/MM-23-2-2-2-2-B.cnf,-,5000.022,-,5000.04,-,5000.022,,,-,5000.024,10000,10000,10000,,10000,-,5000.053,10000
../SAT2018/Jingchao/ae_rphp075_04.cnf,UNSAT,1073.865,UNSAT,1325.071,UNSAT,880.911,,,UNSAT,1615.146,1073.865,1325.071,880.911,,1615.146,UNSAT,2462.662,2462.662
../SAT2018/Scheel/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,SAT,144.009,SAT,313.66,SAT,360.224,,,SAT,806.509,144.009,313.66,360.224,,806.509,SAT,373.491,373.491
../SAT2019/sr2019/new/Chen/hcp_r20_20.cnf,SAT,14.604,SAT,14.023,SAT,15.063,,,SAT,14.298,14.604,14.023,15.063,,14.298,SAT,14.505,14.505
../SAT2019/sr2019/old/aaai10-planning-ipc5-TPP-21-step11-sc2011.cnf,UNSAT,475.586,UNSAT,465.953,UNSAT,553.877,,,UNSAT,540.052,475.586,465.953,553.877,,540.052,UNSAT,530.295,530.295
../SAT2019/sr2019/old/le450_15b.col.15-sc2018.cnf,-,5000.018,-,5000.023,-,5000.008,,,-,5000.015,10000,10000,10000,,10000,-,5000.088,10000
../SAT2018/Heusser/satcoin-genesis-SAT-256.cnf,SAT,14.928,SAT,2549.256,SAT,2522.608,,,SAT,132.617,14.928,2549.256,2522.608,,132.617,SAT,24.665,24.665
../SAT2019/sr2019/new/Chen/hcp_CP26_26.cnf,-,5000.019,-,5000.04,-,5000.021,,,-,5000.015,10000,10000,10000,,10000,-,5000.396,10000
../SAT2018/Chen/20180322_164226378_p_cnf_320_1120.cnf,-,5000.022,-,5000.061,-,5000.64,,,-,5000.041,10000,10000,10000,,10000,SAT,3157.426,3157.426
../SAT2018/final/Johnson/sted5_0x1e3-60.cnf,-,5000.016,-,5000.011,-,5000.035,,,-,5000.015,10000,10000,10000,,10000,-,5000.053,10000
../SAT2018/Manthey/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,UNSAT,1294.213,UNSAT,1600.891,UNSAT,1374.376,,,UNSAT,747.29,1294.213,1600.891,1374.376,,747.29,UNSAT,760.466,760.466
../SAT2018/final/Soos/apn-sbox6-cut5-helpbox29.cnf,SAT,369.32,SAT,379.338,SAT,608.484,,,SAT,339.737,369.32,379.338,608.484,,339.737,SAT,303.273,303.273
../SAT2018/final/Johnson/sted5_0x0-50.cnf,SAT,268.037,SAT,168.616,SAT,202.71,,,SAT,337.716,268.037,168.616,202.71,,337.716,SAT,175.319,175.319
../SAT2018/Scheel/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,UNSAT,10.804,UNSAT,8.972,UNSAT,7.373,,,UNSAT,444.423,10.804,8.972,7.373,,444.423,UNSAT,4179.912,4179.912
../SAT2019/sr2019/new/Bebel/toughsat_22bits_1.cnf,SAT,39.603,SAT,54.064,SAT,38.346,,,SAT,30.051,39.603,54.064,38.346,,30.051,SAT,34.204,34.204
../SAT2019/sr2019/new/Zaikin/Trivium_no_init_out350_known_last142_1.cnf,SAT,1162.57,SAT,768.114,SAT,1236.938,,,SAT,2360.837,1162.57,768.114,1236.938,,2360.837,SAT,255.571,255.571
../SAT2018/Chen/20180322_164245263_p_cnf_320_1120.cnf,SAT,380.866,SAT,398.27,-,5000.006,,,-,5000.009,380.866,398.27,10000,,10000,SAT,4081.485,4081.485
../SAT2019/sr2019/old/SAT_dat.k100-sc2012.cnf,UNSAT,487.177,UNSAT,505.295,UNSAT,517.624,,,UNSAT,305.533,487.177,505.295,517.624,,305.533,UNSAT,282.478,282.478
../SAT2019/sr2019/old/mrpp_8x8#20_24-sc2014.cnf,SAT,190.905,SAT,57.599,SAT,171.736,,,SAT,100.047,190.905,57.599,171.736,,100.047,SAT,264.918,264.918
../SAT2019/sr2019/new/Chen/hcp_CP16_16.cnf,SAT,1420.328,SAT,295.293,SAT,448.276,,,SAT,690.765,1420.328,295.293,448.276,,690.765,SAT,822.987,822.987
../SAT2018/final/Soos/apn-sbox6-cut5-helpbox30.cnf,SAT,186.836,SAT,492.791,SAT,622.461,,,SAT,774.093,186.836,492.791,622.461,,774.093,SAT,271.379,271.379
../SAT2018/final/Collatz/full-by-za.rules.5-7.cnf,-,5000.043,-,5000.03,-,5000.057,,,SAT,1394.902,10000,10000,10000,,1394.902,SAT,1276.891,1276.891
../SAT2018/Heule/CNP-5-1400.cnf,SAT,469.057,SAT,132.998,SAT,323.868,,,SAT,1323.295,469.057,132.998,323.868,,1323.295,SAT,121.275,121.275
../SAT2018/Liang/assoc_mult_err_3.c.cnf,UNSAT,86.263,UNSAT,88.824,UNSAT,89.303,,,UNSAT,105.803,86.263,88.824,89.303,,105.803,UNSAT,111.401,111.401
../SAT2018/Chen/20180326_095801070_p_cnf_320_1120.cnf,-,5000.02,-,5000.008,-,5000.038,,,-,5000.013,10000,10000,10000,,10000,-,5000.007,10000
../SAT2019/sr2019/new/Manthey/sv-comp19_prop-reachsafety.sigma_false-unreach-call.i-witness.cnf,SAT,261.839,SAT,228.762,SAT,320.58,,,SAT,489.027,261.839,228.762,320.58,,489.027,SAT,340.154,340.154
../SAT2019/sr2019/new/Zaikin/ASG_96_len112_known_last13_2.cnf,SAT,1637.38,SAT,15.649,SAT,1462.67,,,SAT,783.544,1637.38,15.649,1462.67,,783.544,SAT,1011.8,1011.8
../SAT2019/sr2019/old/LABS_n066_goal005-sc2013.cnf,-,5000.01,-,5000.009,-,5000.012,,,-,5000.012,10000,10000,10000,,10000,SAT,1283.23,1283.23
../SAT2018/Ehlers/ex145_11.cnf,-,5000.039,-,5000.014,-,5000.038,,,-,5000.05,10000,10000,10000,,10000,-,5000.039,10000
../SAT2019/sr2019/old/aaai10-planning-ipc5-pathways-17-step21-sc2011.cnf,SAT,2768.554,SAT,3569.896,SAT,667.373,,,SAT,736.193,2768.554,3569.896,667.373,,736.193,SAT,269.551,269.551
../SAT2018/Chen/20180326_095804936_p_cnf_320_1120.cnf,-,5000.029,-,5000.012,SAT,117.335,,,-,5000.01,10000,10000,117.335,,10000,SAT,407.159,407.159
../SAT2019/sr2019/new/Bebel/toughsat_23bits_3.cnf,SAT,106.961,SAT,66.084,SAT,75.289,,,SAT,199.958,106.961,66.084,75.289,,199.958,SAT,113.323,113.323
../SAT2018/final/Collatz/cz-3-7-7.cnf,UNSAT,1463.947,UNSAT,1155.717,UNSAT,1243.497,,,UNSAT,1495.882,1463.947,1155.717,1243.497,,1495.882,UNSAT,1741.066,1741.066
../SAT2018/Liang/sqrt_ineq_2.c.cnf,SAT,32.547,SAT,17.818,SAT,149.714,,,SAT,168.515,32.547,17.818,149.714,,168.515,SAT,61.727,61.727
../SAT2018/Biere/uniqinv20prop.cnf,UNSAT,1997.679,UNSAT,2616.315,UNSAT,2327.829,,,UNSAT,38.671,1997.679,2616.315,2327.829,,38.671,UNSAT,28.777,28.777
../SAT2019/sr2019/old/UR-20-5p1-sc2009.cnf,SAT,406.805,SAT,351.706,SAT,259.964,,,SAT,461.076,406.805,351.706,259.964,,461.076,SAT,383.185,383.185
../SAT2018/Mayer-Eichberger/10-3-13.cnf,-,5000.017,-,5000.034,-,5000.12,,,-,5000.019,10000,10000,10000,,10000,-,5000.016,10000
../SAT2018/Konan/TimetableCNFEncoding_16_UNKNOWN.cnf,-,5000.038,-,5000.02,-,5000.055,,,-,5000.035,10000,10000,10000,,10000,-,5000.036,10000
../SAT2019/sr2019/old/ctl_4291_567_2_unsat_pre-sc2013.cnf,UNSAT,1132.548,UNSAT,1112.498,UNSAT,1116.454,,,UNSAT,1350.357,1132.548,1112.498,1116.454,,1350.357,UNSAT,1384.997,1384.997
../SAT2019/sr2019/old/pb_300_10_lb_08-sc2014.cnf,UNSAT,142.603,UNSAT,197.659,UNSAT,154.803,,,UNSAT,112.206,142.603,197.659,154.803,,112.206,UNSAT,102.041,102.041
../SAT2019/sr2019/old/blocks-blocks-37-1.130-NOTKNOWN-sc2011.cnf,UNSAT,1099.367,UNSAT,909.888,UNSAT,1186.156,,,UNSAT,1060.324,1099.367,909.888,1186.156,,1060.324,UNSAT,807.779,807.779
../SAT2019/sr2019/old/bob12s06-sc2013.cnf,UNSAT,2919.262,UNSAT,2757.483,UNSAT,2959.49,,,UNSAT,839.365,2919.262,2757.483,2959.49,,839.365,UNSAT,840.12,840.12
../SAT2019/sr2019/new/Zaikin/ASG_96_len112_known_last12_2_u.cnf,SAT,1153.308,SAT,968.191,SAT,408.475,,,SAT,2382.58,1153.308,968.191,408.475,,2382.58,SAT,928.175,928.175
../SAT2018/final/Johnson/sted5_0x24204-70.cnf,-,5000.022,-,5000.542,-,5001.391,,,-,5000.134,10000,10000,10000,,10000,-,5000.114,10000
../SAT2019/sr2019/old/slp-synthesis-aes-bottom22-sc2011.cnf,-,5000.027,-,5000.014,-,5000.03,,,-,5000.031,10000,10000,10000,,10000,-,5000.016,10000
../SAT2018/Mayer-Eichberger/8-4-10.cnf,-,5000.012,-,5000.023,-,5000.033,,,-,5000.03,10000,10000,10000,,10000,-,5000.064,10000
../SAT2018/Mayer-Eichberger/7-5-6.cnf,-,5000.027,-,5000.053,-,5000.041,,,-,5000.017,10000,10000,10000,,10000,-,5000.06,10000
../SAT2018/Jingchao/ae_rphp056_05.cnf,-,5000.014,-,5000.905,-,5002.398,,,-,5000.856,10000,10000,10000,,10000,-,5000.546,10000
../SAT2019/sr2019/new/Zaikin/Mickey_out250_known_last146_0.cnf,SAT,859.326,SAT,962.491,SAT,625.722,,,SAT,869.382,859.326,962.491,625.722,,869.382,SAT,71.274,71.274
../SAT2018/Mayer-Eichberger/8-5-6.cnf,-,5000.011,-,5000.048,-,5000.061,,,-,5000.021,10000,10000,10000,,10000,-,5000.052,10000
../SAT2019/sr2019/old/007-sc2013.cnf,SAT,295.544,-,5000.08,SAT,1211.955,,,SAT,1427.246,295.544,10000,1211.955,,1427.246,SAT,1800.811,1800.811
../SAT2019/sr2019/old/SAT_dat.k85-sc2013.cnf,-,5000.056,-,5000.059,-,5000.059,,,-,5000.075,10000,10000,10000,,10000,UNSAT,3489.198,3489.198
../SAT2018/Chowdhury/gto_p60c238.cnf,UNSAT,147.432,UNSAT,146.97,UNSAT,147.581,,,UNSAT,324.976,147.432,146.97,147.581,,324.976,UNSAT,214.481,214.481
../SAT2019/sr2019/old/minxorminand128-sc2009.cnf,UNSAT,3120.458,UNSAT,1744.226,UNSAT,2975.089,,,UNSAT,664.016,3120.458,1744.226,2975.089,,664.016,UNSAT,685.697,685.697
../SAT2018/final/Soos/apn-sbox6-cut4-helpbox23.cnf,-,5000.015,-,5000.054,-,5000.073,,,-,5000.02,10000,10000,10000,,10000,-,5000.012,10000
../SAT2018/Chen/20180321_110706599_p_cnf_320_1120.cnf,-,5000.007,-,5000.002,SAT,730.506,,,-,5000.009,10000,10000,730.506,,10000,SAT,1109.894,1109.894
../SAT2018/final/CRIL/T62.2.0.cnf,UNSAT,492.949,UNSAT,433.54,UNSAT,460.683,,,UNSAT,674.57,492.949,433.54,460.683,,674.57,UNSAT,416.512,416.512
../SAT2019/sr2019/new/Bebel/toughsat_26bits_0.cnf,SAT,1117.439,SAT,118.032,SAT,835.414,,,SAT,248.333,1117.439,118.032,835.414,,248.333,SAT,2179.387,2179.387
../SAT2018/Liang/assoc2.c.cnf,-,5000.194,-,5000.024,-,5000.007,,,-,5000.013,10000,10000,10000,,10000,-,5000.029,10000
../SAT2019/sr2019/old/24.4-sc2017.cnf,-,5000.01,-,5000.023,-,5000.024,,,-,5000.01,10000,10000,10000,,10000,-,5000.067,10000
../SAT2019/sr2019/old/maxxor032-sc2011.cnf,UNSAT,203.288,UNSAT,288.679,UNSAT,243.906,,,UNSAT,56.783,203.288,288.679,243.906,,56.783,UNSAT,37.481,37.481
../SAT2018/Manthey/Problem14_label20_true-unreach-call.c.cnf,UNSAT,77.733,UNSAT,78.24,UNSAT,89.426,,,UNSAT,136.507,77.733,78.24,89.426,,136.507,UNSAT,53.742,53.742
../SAT2019/sr2019/old/slp-synthesis-aes-top21-sc2011.cnf,-,5000.016,-,5000.053,-,5000.039,,,-,5000.043,10000,10000,10000,,10000,-,5000.032,10000
../SAT2018/Manthey/terminator_03_true-unreach-call_true-termination.i.cnf,UNSAT,964.112,UNSAT,982.451,UNSAT,837.149,,,UNSAT,721.159,964.112,982.451,837.149,,721.159,UNSAT,692.422,692.422
../SAT2019/sr2019/new/Savicky/size_4_4_4_i2704_r8.cnf,UNSAT,572.658,UNSAT,351.179,UNSAT,752.553,,,UNSAT,551.225,572.658,351.179,752.553,,551.225,UNSAT,515.607,515.607
../SAT2018/Zha/factoring87654321x12345678.cnf,SAT,76.807,SAT,160.244,SAT,631.703,,,SAT,190.233,76.807,160.244,631.703,,190.233,SAT,490.471,490.471
../SAT2019/sr2019/new/Manthey/sv-comp19_prop-reachsafety.fib_bench_longest_false-unreach-call.i-witness.cnf,SAT,401.714,SAT,1462.633,SAT,1051.792,,,SAT,290.89,401.714,1462.633,1051.792,,290.89,SAT,266.828,266.828
../SAT2019/sr2019/new/Zaikin/MASG0_72_keystream76_0.cnf,-,5000.007,SAT,460.446,SAT,3624.461,,,-,5000.013,10000,460.446,3624.461,,10000,SAT,2153.908,2153.908
