instance	cadical result	cadical time	cadical-chrono result	cadical-chrono time	cadical-trail result	cadical-trail time	cadical-trail-append result	cadical-trail-append time	cadical-trail-2levels-ahead	cadical-trail-2levels-ahead	par2	par-2 chrono	par-2 trail	par-2 append	par-2 1lvl
../SAT2019/sr2019/new/Zaikin/ASG_72_keystream76_1.cnf	SAT	832.034	SAT	1778.59	SAT	1593.421	SAT	594.214	SAT	2621.472	832.034	1778.59	1593.421	594.214	2621.472
../SAT2018/Mayer-Eichberger/9-4-10.cnf	-	5000.021	-	5000.022	-	5000.024	-	5000.058	-	5000.024	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/QG7a-gensys-icl001.sat05-3822.reshuffled-07-sc2007.cnf	UNSAT	68.596	UNSAT	98.39	UNSAT	62.707	UNSAT	76.111	UNSAT	65.916	68.596	98.39	62.707	76.111	65.916
../SAT2019/sr2019/old/aes_32_3_keyfind_1-sc2011.cnf	SAT	1830.684	SAT	3655.11	SAT	3301.995	SAT	3122.91	SAT	353.776	1830.684	3655.11	3301.995	3122.91	353.776
../SAT2018/Manthey/Problem14_label19_true-unreach-call.c.cnf	UNSAT	63.168	UNSAT	91.371	UNSAT	86.11	UNSAT	79.126	UNSAT	102.71	63.168	91.371	86.11	79.126	102.71
../SAT2019/sr2019/new/Zaikin/Trivium_no_init_out350_known_last143_1_u.cnf	UNSAT	1731.398	UNSAT	1748.936	UNSAT	1599.879	UNSAT	1522.776	UNSAT	1703.194	1731.398	1748.936	1599.879	1522.776	1703.194
../SAT2019/sr2019/old/ezfact64_6.shuffled-as.sat03-1522-sc2002.cnf	SAT	103.923	SAT	231.049	SAT	89.994	SAT	260.155	SAT	28.789	103.923	231.049	89.994	260.155	28.789
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m75a.cnf	SAT	320.259	SAT	241.635	SAT	272.21	SAT	197.213	SAT	71.391	320.259	241.635	272.21	197.213	71.391
../SAT2018/Chowdhury/gto_p50c314_1.cnf	-	5000.274	-	5000.011	-	5000.007	-	5000.006	-	5000.011	10000	10000	10000	10000	10000
../SAT2018/final/Johnson/sted5_0x1e3-20.cnf	-	5000.043	-	5000.006	-	5000.008	-	5000.183	-	5000.031	10000	10000	10000	10000	10000
../SAT2018/final/Soos/apn-sbox6-cut3-helpbox31.cnf	SAT	525.281	SAT	408.113	SAT	368.941	SAT	1581.481	SAT	305.978	525.281	408.113	368.941	1581.481	305.978
../SAT2018/final/Zhou/bibd-8-70-35-4-15_glb.cnf	SAT	8.793	SAT	10.737	SAT	34.671	SAT	39.007	SAT	9.984	8.793	10.737	34.671	39.007	9.984
../SAT2018/final/CRIL/T84.2.0.cnf	UNSAT	550.182	UNSAT	540.937	UNSAT	502.975	UNSAT	554.258	UNSAT	601.896	550.182	540.937	502.975	554.258	601.896
../SAT2019/sr2019/new/Zhou/Mario-t-hard-2_c18.cnf	SAT	1.248	SAT	1.128	SAT	1.235	SAT	1.313	SAT	1.236	1.248	1.128	1.235	1.313	1.236
../SAT2018/Chen/20180322_164226661_p_cnf_320_1120.cnf	SAT	213.074	SAT	190.146	SAT	312.19	SAT	303.531	SAT	28.897	213.074	190.146	312.19	303.531	28.897
../SAT2019/sr2019/new/Biere/eqbparrc18spwtrc18.cnf	-	5000.039	-	5000.009	-	5000.018	-	5000.02	-	5000.042	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/atco_enc1_opt2_20_12-sc2014.cnf	UNSAT	1979.975	UNSAT	1896.256	UNSAT	1987.441	UNSAT	2050.493	UNSAT	1942.211	1979.975	1896.256	1987.441	2050.493	1942.211
../SAT2019/sr2019/new/Heule/MM-23-2-2-2-2-B.cnf	-	5000.017	-	5000.014	-	5000.021	-	5000.011	-	5000.056	10000	10000	10000	10000	10000
../SAT2018/Jingchao/ae_rphp075_04.cnf	UNSAT	1173.755	UNSAT	1004.464	UNSAT	1160.433	UNSAT	1209.17	UNSAT	1189.874	1173.755	1004.464	1160.433	1209.17	1189.874
../SAT2018/Scheel/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf	SAT	1011.472	SAT	765.142	SAT	173.012	SAT	956.525	SAT	918.383	1011.472	765.142	173.012	956.525	918.383
../SAT2019/sr2019/new/Chen/hcp_r20_20.cnf	SAT	11.148	SAT	11.503	SAT	11.195	SAT	11.448	SAT	11.651	11.148	11.503	11.195	11.448	11.651
../SAT2019/sr2019/old/aaai10-planning-ipc5-TPP-21-step11-sc2011.cnf	UNSAT	325.001	UNSAT	398.672	UNSAT	302.171	UNSAT	340.263	UNSAT	529.325	325.001	398.672	302.171	340.263	529.325
../SAT2019/sr2019/old/le450_15b.col.15-sc2018.cnf	-	5000.023	-	5000.019	-	5000.022	-	5000.008	-	5000.054	10000	10000	10000	10000	10000
../SAT2018/Heusser/satcoin-genesis-SAT-256.cnf	SAT	25.614	SAT	22.428	SAT	20.995	SAT	20.839	SAT	17.739	25.614	22.428	20.995	20.839	17.739
../SAT2019/sr2019/new/Chen/hcp_CP26_26.cnf	-	5000.017	-	5000.022	-	5000.015	-	5000.027	-	5000.016	10000	10000	10000	10000	10000
../SAT2018/Chen/20180322_164226378_p_cnf_320_1120.cnf	SAT	54.06	SAT	25.114	SAT	32.769	SAT	7.632	SAT	20.996	54.06	25.114	32.769	7.632	20.996
../SAT2018/final/Johnson/sted5_0x1e3-60.cnf	-	5000.021	-	5000.009	-	5000.039	-	5000.015	-	5000.024	10000	10000	10000	10000	10000
../SAT2018/Manthey/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf	UNSAT	457.967	UNSAT	823.251	UNSAT	817.742	UNSAT	422.354	UNSAT	828.091	457.967	823.251	817.742	422.354	828.091
../SAT2018/final/Soos/apn-sbox6-cut5-helpbox29.cnf	SAT	1767.045	-	5000.01	SAT	401.785	SAT	2797.73	SAT	1906.445	1767.045	10000	401.785	2797.73	1906.445
../SAT2018/final/Johnson/sted5_0x0-50.cnf	SAT	148.067	SAT	53.007	SAT	11.363	SAT	154.918	SAT	2.94	148.067	53.007	11.363	154.918	2.94
../SAT2018/Scheel/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf	UNSAT	4.523	UNSAT	3.336	UNSAT	4.377	UNSAT	2.997	UNSAT	6.463	4.523	3.336	4.377	2.997	6.463
../SAT2019/sr2019/new/Bebel/toughsat_22bits_1.cnf	SAT	35.766	SAT	28.318	SAT	30.619	SAT	41.863	SAT	13.171	35.766	28.318	30.619	41.863	13.171
../SAT2019/sr2019/new/Zaikin/Trivium_no_init_out350_known_last142_1.cnf	SAT	3519.517	SAT	1959.019	SAT	3559.555	SAT	2089.886	SAT	2699.182	3519.517	1959.019	3559.555	2089.886	2699.182
../SAT2018/Chen/20180322_164245263_p_cnf_320_1120.cnf	SAT	286.082	SAT	42.96	SAT	297.022	SAT	195.559	SAT	52.358	286.082	42.96	297.022	195.559	52.358
../SAT2019/sr2019/old/SAT_dat.k100-sc2012.cnf	UNSAT	323.259	UNSAT	320.759	UNSAT	313.949	UNSAT	321.475	UNSAT	337.519	323.259	320.759	313.949	321.475	337.519
../SAT2019/sr2019/old/mrpp_8x8#20_24-sc2014.cnf	SAT	212.834	SAT	184.394	SAT	257.252	SAT	281.724	SAT	1023.339	212.834	184.394	257.252	281.724	1023.339
../SAT2019/sr2019/new/Chen/hcp_CP16_16.cnf	-	5000.01	SAT	4723.758	SAT	1297.853	SAT	385.66	-	5000.035	10000	4723.758	1297.853	385.66	10000
../SAT2018/final/Soos/apn-sbox6-cut5-helpbox30.cnf	SAT	3361.434	SAT	814.787	SAT	451.999	SAT	1400.839	SAT	564.556	3361.434	814.787	451.999	1400.839	564.556
../SAT2018/final/Collatz/full-by-za.rules.5-7.cnf	SAT	4127.959	SAT	4266.565	SAT	4329.962	SAT	1089.745	-	5000.018	4127.959	4266.565	4329.962	1089.745	10000
../SAT2018/Heule/CNP-5-1400.cnf	SAT	110.781	SAT	44.595	SAT	463.742	SAT	25.079	SAT	34.616	110.781	44.595	463.742	25.079	34.616
../SAT2018/Liang/assoc_mult_err_3.c.cnf	UNSAT	26.35	UNSAT	25.707	UNSAT	27.691	UNSAT	27.965	UNSAT	25.552	26.35	25.707	27.691	27.965	25.552
../SAT2018/Chen/20180326_095801070_p_cnf_320_1120.cnf	SAT	372.833	SAT	817.864	SAT	2533.91	SAT	104.968	SAT	359.317	372.833	817.864	2533.91	104.968	359.317
../SAT2019/sr2019/new/Manthey/sv-comp19_prop-reachsafety.sigma_false-unreach-call.i-witness.cnf	SAT	1648.897	SAT	1164.06	SAT	433.952	SAT	277.402	SAT	275.136	1648.897	1164.06	433.952	277.402	275.136
../SAT2019/sr2019/new/Zaikin/ASG_96_len112_known_last13_2.cnf	SAT	698.689	SAT	230.184	SAT	887.891	SAT	721.289	SAT	190.202	698.689	230.184	887.891	721.289	190.202
../SAT2019/sr2019/old/LABS_n066_goal005-sc2013.cnf	-	5000.008	-	5000.013	-	5000.018	-	5000.012	-	5000.011	10000	10000	10000	10000	10000
../SAT2018/Ehlers/ex145_11.cnf	-	5000.01	-	5000.011	-	5000.013	-	5000.029	-	5000.014	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/aaai10-planning-ipc5-pathways-17-step21-sc2011.cnf	SAT	44.004	SAT	541.744	SAT	52.338	SAT	62.118	SAT	146.506	44.004	541.744	52.338	62.118	146.506
../SAT2018/Chen/20180326_095804936_p_cnf_320_1120.cnf	SAT	60.362	SAT	20.952	SAT	22.124	SAT	0.51	SAT	336.075	60.362	20.952	22.124	0.51	336.075
../SAT2019/sr2019/new/Bebel/toughsat_23bits_3.cnf	SAT	322.144	SAT	96.29	SAT	180.104	SAT	184.654	SAT	14.374	322.144	96.29	180.104	184.654	14.374
../SAT2018/final/Collatz/cz-3-7-7.cnf	UNSAT	962.523	UNSAT	1397.127	UNSAT	984.242	UNSAT	1235.742	UNSAT	1222.718	962.523	1397.127	984.242	1235.742	1222.718
../SAT2018/Liang/sqrt_ineq_2.c.cnf	SAT	9.785	SAT	9.193	SAT	0.978	SAT	9.449	SAT	14.528	9.785	9.193	0.978	9.449	14.528
../SAT2018/Biere/uniqinv20prop.cnf	UNSAT	89.122	UNSAT	63.765	UNSAT	76.847	UNSAT	75.989	UNSAT	64.093	89.122	63.765	76.847	75.989	64.093
../SAT2019/sr2019/old/UR-20-5p1-sc2009.cnf	SAT	601.399	SAT	588.609	SAT	632.658	SAT	590.003	SAT	577.805	601.399	588.609	632.658	590.003	577.805
../SAT2018/Mayer-Eichberger/10-3-13.cnf	-	5000.024	-	5000.028	SAT	461.68	SAT	1963.844	-	5000.063	10000	10000	461.68	1963.844	10000
../SAT2018/Konan/TimetableCNFEncoding_16_UNKNOWN.cnf	-	5000.031	-	5000.038	-	5000.24	-	5000.029	-	5000.033	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/ctl_4291_567_2_unsat_pre-sc2013.cnf	UNSAT	2383.891	UNSAT	2532.617	UNSAT	2593.648	UNSAT	2476.592	UNSAT	2232.07	2383.891	2532.617	2593.648	2476.592	2232.07
../SAT2019/sr2019/old/pb_300_10_lb_08-sc2014.cnf	UNSAT	118.763	UNSAT	165.566	UNSAT	118.583	UNSAT	116.686	UNSAT	126.623	118.763	165.566	118.583	116.686	126.623
../SAT2019/sr2019/old/blocks-blocks-37-1.130-NOTKNOWN-sc2011.cnf	UNSAT	1849.416	UNSAT	3754.37	UNSAT	1796.227	UNSAT	1647.613	UNSAT	1997.109	1849.416	3754.37	1796.227	1647.613	1997.109
../SAT2019/sr2019/old/bob12s06-sc2013.cnf	UNSAT	2425.285	UNSAT	1599.242	UNSAT	2821.045	UNSAT	2574.74	UNSAT	1755.092	2425.285	1599.242	2821.045	2574.74	1755.092
../SAT2019/sr2019/new/Zaikin/ASG_96_len112_known_last12_2_u.cnf	SAT	521.452	SAT	694.738	SAT	599.078	SAT	250.844	SAT	230.277	521.452	694.738	599.078	250.844	230.277
../SAT2018/final/Johnson/sted5_0x24204-70.cnf	-	5000.019	-	5000.013	-	5000.019	-	5000.021	-	5000.007	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/slp-synthesis-aes-bottom22-sc2011.cnf	-	5000.064	-	5000.009	-	5000.066	-	5000.015	-	5000.009	10000	10000	10000	10000	10000
../SAT2018/Mayer-Eichberger/8-4-10.cnf	-	5000.025	-	5000.024	-	5000.026	-	5000.049	-	5000.036	10000	10000	10000	10000	10000
../SAT2018/Mayer-Eichberger/7-5-6.cnf	-	5000.03	-	5000.02	-	5000.015	-	5001.364	-	5000.14	10000	10000	10000	10000	10000
../SAT2018/Jingchao/ae_rphp056_05.cnf	-	5000.23	-	5000.012	-	5000.012	-	5000.018	-	5000.011	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Zaikin/Mickey_out250_known_last146_0.cnf	SAT	476.717	SAT	106.646	SAT	119.76	SAT	5.08	SAT	222.741	476.717	106.646	119.76	5.08	222.741
../SAT2018/Mayer-Eichberger/8-5-6.cnf	SAT	1571.629	-	5000.059	-	5000.02	-	5000.027	-	5000.027	1571.629	10000	10000	10000	10000
../SAT2019/sr2019/old/007-sc2013.cnf	SAT	2140.237	SAT	1688.873	SAT	2742.585	-	5000.367	SAT	2425.46	2140.237	1688.873	2742.585	10000	2425.46
../SAT2019/sr2019/old/SAT_dat.k85-sc2013.cnf	UNSAT	1773.633	UNSAT	1761.312	UNSAT	2380.286	UNSAT	1794.413	UNSAT	1786.157	1773.633	1761.312	2380.286	1794.413	1786.157
../SAT2018/Chowdhury/gto_p60c238.cnf	UNSAT	625.268	UNSAT	718.17	UNSAT	682.989	UNSAT	650.766	UNSAT	342.785	625.268	718.17	682.989	650.766	342.785
../SAT2019/sr2019/old/minxorminand128-sc2009.cnf	UNSAT	1168.808	UNSAT	1198.312	UNSAT	1168.154	UNSAT	1107.873	UNSAT	1545.567	1168.808	1198.312	1168.154	1107.873	1545.567
../SAT2018/final/Soos/apn-sbox6-cut4-helpbox23.cnf	-	5000.083	-	5000.011	-	5000.012	-	5000.111	-	5000.2	10000	10000	10000	10000	10000
../SAT2018/Chen/20180321_110706599_p_cnf_320_1120.cnf	SAT	5.743	SAT	246.492	SAT	59.632	SAT	43.232	SAT	60.267	5.743	246.492	59.632	43.232	60.267
../SAT2018/final/CRIL/T62.2.0.cnf	UNSAT	536.874	UNSAT	599.763	UNSAT	684.34	UNSAT	574.83	UNSAT	537.315	536.874	599.763	684.34	574.83	537.315
../SAT2019/sr2019/new/Bebel/toughsat_26bits_0.cnf	SAT	1692.418	SAT	121.815	SAT	106.648	SAT	553.968	SAT	214.738	1692.418	121.815	106.648	553.968	214.738
../SAT2018/Liang/assoc2.c.cnf	-	5000.008	-	5000.037	-	5000.006	-	5000.004	-	5000.004	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/24.4-sc2017.cnf	-	5000.02	-	5000.013	-	5000.023	-	5000.028	-	5000.014	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/maxxor032-sc2011.cnf	UNSAT	28.496	UNSAT	32.177	UNSAT	30.209	UNSAT	30.326	UNSAT	34.024	28.496	32.177	30.209	30.326	34.024
../SAT2018/Manthey/Problem14_label20_true-unreach-call.c.cnf	UNSAT	6.461	UNSAT	5.67	UNSAT	11.462	UNSAT	4.994	UNSAT	10.083	6.461	5.67	11.462	4.994	10.083
../SAT2019/sr2019/old/slp-synthesis-aes-top21-sc2011.cnf	-	5000.01	-	5000.026	-	5000.011	-	5000.029	-	5000.024	10000	10000	10000	10000	10000
../SAT2018/Manthey/terminator_03_true-unreach-call_true-termination.i.cnf	UNSAT	70.729	UNSAT	153.102	UNSAT	405.236	UNSAT	328.829	UNSAT	194.108	70.729	153.102	405.236	328.829	194.108
../SAT2019/sr2019/new/Savicky/size_4_4_4_i2704_r8.cnf	UNSAT	543.656	UNSAT	661.088	UNSAT	581.44	UNSAT	555.219	UNSAT	680.076	543.656	661.088	581.44	555.219	680.076
../SAT2018/Zha/factoring87654321x12345678.cnf	SAT	639.62	SAT	86.228	SAT	3556.488	SAT	48.741	SAT	73.073	639.62	86.228	3556.488	48.741	73.073
../SAT2019/sr2019/new/Manthey/sv-comp19_prop-reachsafety.fib_bench_longest_false-unreach-call.i-witness.cnf	SAT	351.974	SAT	364.184	SAT	86.344	SAT	100.306	SAT	291.299	351.974	364.184	86.344	100.306	291.299
../SAT2019/sr2019/new/Zaikin/MASG0_72_keystream76_0.cnf	SAT	2369.238	SAT	923.302	SAT	26.385	SAT	2371.43	SAT	693.801	2369.238	923.302	26.385	2371.43	693.801
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m72a.cnf	SAT	586.385	SAT	354.647	SAT	261.907	SAT	72.806	SAT	254.856	586.385	354.647	261.907	72.806	254.856
../SAT2019/sr2019/new/Heule/MM-23-2-2-2-4-B.cnf	-	5000.022	-	5000.086	-	5000.01	-	5000.007	-	5000.114	10000	10000	10000	10000	10000
../SAT2018/final/CRIL/T129.2.0.cnf	UNSAT	622.662	UNSAT	643.776	UNSAT	602.962	UNSAT	627.745	UNSAT	540.066	622.662	643.776	602.962	627.745	540.066
../SAT2018/final/Collatz/by-alt-5-7.cnf	SAT	127.801	SAT	1020.269	SAT	126.732	SAT	2148.475	SAT	386.201	127.801	1020.269	126.732	2148.475	386.201
